Soloist time: 36.97, Estimated time: 35.85, Accompanist time: 35.97, Playback rate: 1.03, Fuzzy membership: positive_small
Soloist time: 37.15, Estimated time: 35.85, Accompanist time: 36.12, Playback rate: 0.84, Fuzzy membership: positive_small
Soloist time: 37.34, Estimated time: 36.04, Accompanist time: 36.27, Playback rate: 0.77, Fuzzy membership: positive_small
Soloist time: 37.52, Estimated time: 36.22, Accompanist time: 36.41, Playback rate: 0.77, Fuzzy membership: positive_small
Soloist time: 37.71, Estimated time: 36.59, Accompanist time: 36.61, Playback rate: 1.07, Fuzzy membership: zero
Soloist time: 37.89, Estimated time: 36.97, Accompanist time: 36.84, Playback rate: 1.23, Fuzzy membership: negative_small
Soloist time: 38.08, Estimated time: 36.97, Accompanist time: 37.07, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 38.27, Estimated time: 37.15, Accompanist time: 37.30, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 38.45, Estimated time: 37.15, Accompanist time: 37.51, Playback rate: 1.13, Fuzzy membership: positive_small
Soloist time: 38.64, Estimated time: 37.15, Accompanist time: 37.64, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 38.82, Estimated time: 37.15, Accompanist time: 37.78, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 39.01, Estimated time: 37.15, Accompanist time: 37.87, Playback rate: 0.48, Fuzzy membership: positive_large
Soloist time: 39.20, Estimated time: 37.34, Accompanist time: 37.95, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 39.38, Estimated time: 37.34, Accompanist time: 38.04, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 39.57, Estimated time: 37.52, Accompanist time: 38.12, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 39.75, Estimated time: 37.71, Accompanist time: 38.21, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 39.94, Estimated time: 37.89, Accompanist time: 38.30, Playback rate: 0.48, Fuzzy membership: positive_large
Soloist time: 40.12, Estimated time: 39.01, Accompanist time: 38.50, Playback rate: 1.06, Fuzzy membership: negative_large
Soloist time: 40.31, Estimated time: 39.20, Accompanist time: 38.75, Playback rate: 1.37, Fuzzy membership: negative_large
